,population,female,male,total_deaths,total_cases,clusters,cluster
1151,131546,67865,63681,614.0,42501.0,0,pink
1152,8618,4551,4067,60.0,2673.0,0,pink
1153,20474,10522,9952,110.0,9043.0,0,pink
1154,24088,12159,11929,129.0,8101.0,0,pink
1155,45694,23292,22402,129.0,14419.0,0,pink
1156,52724,26603,26121,165.0,17256.0,0,pink
1157,10411,5372,5039,28.0,2447.0,0,pink
1158,21357,11091,10266,83.0,7403.0,0,pink
1159,43446,22138,21308,199.0,13264.0,0,pink
1160,83449,43298,40151,440.0,27870.0,0,pink
1161,53752,27300,26452,211.0,15953.0,0,pink
1162,51734,26127,25607,286.0,15284.0,0,pink
1163,252093,129746,122347,946.0,91204.0,0,pink
1164,130504,67267,63237,680.0,45106.0,0,pink
1165,4666,2370,2296,13.0,1387.0,0,pink
1166,112587,57282,55305,460.0,38870.0,0,pink
1167,22475,11343,11132,146.0,8931.0,0,pink
1168,59867,30746,29121,247.0,19109.0,0,pink
1169,51007,23881,27126,203.0,11804.0,0,pink
1170,46457,23494,22963,277.0,16225.0,0,pink
1171,39631,20389,19242,210.0,14552.0,0,pink
1172,25860,12997,12863,97.0,9639.0,0,pink
1173,11180,5476,5704,77.0,4922.0,0,pink
1174,15377,5575,9802,53.0,3859.0,0,pink
1175,14494,6761,7733,75.0,5604.0,0,pink
1176,107444,54930,52514,336.0,28242.0,0,pink
1177,68269,34524,33745,199.0,18185.0,0,pink
1178,290944,149668,141276,503.0,65859.0,0,pink
1179,30019,15368,14651,71.0,7256.0,0,pink
1180,54541,28167,26374,119.0,10117.0,0,pink
1181,121545,62386,59159,311.0,29979.0,0,pink
1182,39823,20122,19701,55.0,8092.0,0,pink
1183,34067,17443,16624,47.0,6865.0,0,pink
1184,57325,29009,28316,179.0,14471.0,0,pink
1185,151748,76552,75196,391.0,37170.0,0,pink
1186,16887,8447,8440,45.0,3917.0,0,pink
1187,35277,18049,17228,46.0,7003.0,0,pink
1188,50710,25625,25085,127.0,12871.0,0,pink
1189,39418,20071,19347,79.0,8021.0,0,pink
1190,31694,16080,15614,73.0,5722.0,0,pink
1191,203102,104073,99029,363.0,51649.0,0,pink
1192,71977,34331,37646,390.0,21650.0,0,pink
1193,567696,286520,281176,1281.0,119223.0,1,purple
1194,827625,435204,392421,2817.0,171679.0,1,purple
1195,614700,326009,288691,1971.0,149095.0,1,purple
1196,91082,45775,45307,171.0,14745.0,0,pink
1197,32875,16854,16021,92.0,7316.0,0,pink
1198,167522,84681,82841,489.0,28021.0,0,pink
1199,102517,51368,51149,288.0,20277.0,0,pink
1200,157671,81600,76071,413.0,38601.0,0,pink
1201,32261,16926,15335,116.0,9532.0,0,pink
1202,248472,125948,122524,619.0,58240.0,0,pink
1203,29376,14815,14561,128.0,7165.0,0,pink
1204,251025,128262,122763,678.0,49872.0,0,pink
1205,315327,161042,154285,472.0,63923.0,0,pink
1206,19593,10249,9344,85.0,3980.0,0,pink
1207,1040133,537744,502389,2366.0,244921.0,1,purple
1208,906202,469756,436446,2387.0,228545.0,1,purple
1209,49355,24929,24426,132.0,8823.0,0,pink
1210,25737,11904,13833,85.0,6189.0,0,pink
1211,111531,55979,55552,260.0,24539.0,0,pink
1212,37211,19585,17626,115.0,7221.0,0,pink
1213,149811,73713,76098,645.0,40900.0,0,pink
1214,102172,53637,48535,366.0,24790.0,0,pink
1215,51564,26281,25283,195.0,10871.0,0,pink
1216,213690,111514,102176,776.0,49264.0,0,pink
1217,127328,65725,61603,480.0,35120.0,0,pink
1218,558905,288281,270624,2564.0,181619.0,1,purple
1219,17313,8838,8475,0.0,0.0,0,pink
1220,781024,404549,376475,3301.0,255988.0,1,purple
1221,70935,36334,34601,204.0,14678.0,0,pink
1222,469116,242561,226555,2173.0,171217.0,1,purple
1223,161159,85733,75426,462.0,39530.0,0,pink
1224,1595192,815526,779666,4863.0,435289.0,1,purple
1225,11101,5451,5650,0.0,0.0,0,pink
1226,698249,362911,335338,2367.0,172873.0,1,purple
1227,512135,263009,249126,1995.0,142931.0,1,purple
1228,791766,408936,382830,2296.0,267163.0,1,purple
1229,822280,416846,405434,3087.0,239497.0,1,purple
1230,10364,5140,5224,79.0,1943.0,0,pink
1231,9194,4090,5104,21.0,2133.0,0,pink
1232,115250,57664,57586,408.0,32111.0,0,pink
1233,28612,14517,14095,163.0,6544.0,0,pink
1234,23177,11662,11515,81.0,5275.0,0,pink
1235,15165,7484,7681,90.0,3900.0,0,pink
1236,8507,3787,4720,65.0,2654.0,0,pink
1237,60057,29809,30248,197.0,16954.0,0,pink
1238,104786,53300,51486,698.0,31647.0,0,pink
1239,17552,8809,8743,79.0,4161.0,0,pink
1240,154807,79070,75737,704.0,41943.0,0,pink
1241,43584,21099,22485,214.0,13463.0,0,pink
1242,134473,68691,65782,696.0,42396.0,0,pink
1243,51460,25671,25789,175.0,13096.0,0,pink
1244,26219,13312,12907,71.0,5876.0,0,pink
1245,25458,12738,12720,134.0,5787.0,0,pink
1246,37834,17040,20794,126.0,10338.0,0,pink
1247,30616,15457,15159,185.0,8130.0,0,pink
1248,77896,39368,38528,246.0,28088.0,0,pink
1249,13836,6776,7060,39.0,3216.0,0,pink
1250,36190,18192,17998,194.0,12421.0,0,pink
1251,25570,12816,12754,133.0,9346.0,0,pink
1252,109155,55802,53353,485.0,34893.0,0,pink
1253,33039,16732,16307,109.0,7619.0,0,pink
1254,409361,211979,197382,2035.0,124802.0,1,purple
1255,25289,12550,12739,140.0,6785.0,0,pink
1256,15414,7090,8324,83.0,4291.0,0,pink
1257,91746,46379,45367,281.0,21525.0,0,pink
1258,41067,19106,21961,213.0,13624.0,0,pink
1259,45830,23032,22798,232.0,12754.0,0,pink
1260,36360,16692,19668,115.0,9500.0,0,pink
1261,31543,15851,15692,173.0,9758.0,0,pink
1262,289564,148594,140970,924.0,84381.0,0,pink
1263,64176,30123,34053,209.0,20061.0,0,pink
1264,25247,12669,12578,177.0,5693.0,0,pink
1265,11212,5617,5595,103.0,3600.0,0,pink
1266,70775,36404,34371,238.0,17959.0,0,pink
1267,158913,77708,81205,648.0,50275.0,0,pink
1268,261573,133548,128025,828.0,75496.0,0,pink
1269,17463,8555,8908,73.0,4498.0,0,pink
1270,643140,326406,316734,1887.0,201309.0,1,purple
1271,2130,1019,1111,17.0,697.0,0,pink
1272,11763,5763,6000,43.0,2454.0,0,pink
1273,88202,43360,44842,485.0,24266.0,0,pink
1274,21639,10897,10742,69.0,4442.0,0,pink
1275,98474,48659,49815,376.0,30805.0,0,pink
1276,188482,93916,94566,556.0,58086.0,0,pink
1277,6364,2621,3743,23.0,1781.0,0,pink
1278,10817,5354,5463,42.0,3000.0,0,pink
1279,868704,445869,422835,4602.0,299251.0,1,purple
1280,24444,11786,12658,118.0,4904.0,0,pink
1281,66939,33236,33703,172.0,19339.0,0,pink
1282,28884,14574,14310,120.0,8342.0,0,pink
1283,43264,21420,21844,133.0,10285.0,0,pink
1284,23234,11453,11781,92.0,7146.0,0,pink
1285,83389,42409,40980,271.0,23434.0,0,pink
1286,15006,7338,7668,73.0,3584.0,0,pink
1287,149699,75785,73914,555.0,48204.0,0,pink
1288,63209,30614,32595,252.0,18067.0,0,pink
1289,9261,4596,4665,57.0,2021.0,0,pink
1290,173043,86960,86083,737.0,48775.0,0,pink
1291,48142,23993,24149,189.0,13686.0,0,pink
1292,1250843,640072,610771,4560.0,383297.0,1,purple
1293,26417,13005,13412,106.0,7718.0,0,pink
1294,20928,10448,10480,124.0,5087.0,0,pink
1295,5968,2914,3054,46.0,1348.0,0,pink
1296,23232,11494,11738,99.0,5989.0,0,pink
1297,8277,4026,4251,64.0,1709.0,0,pink
1298,24397,12336,12061,122.0,6783.0,0,pink
1299,284034,143749,140285,947.0,87709.0,0,pink
1300,12797,6411,6386,70.0,2398.0,0,pink
1301,23877,12020,11857,133.0,5615.0,0,pink
1302,192778,99197,93581,1091.0,60992.0,0,pink
1303,41376,20842,20534,231.0,10606.0,0,pink
1304,8069,4085,3984,20.0,2246.0,0,pink
1305,68493,34692,33801,272.0,22166.0,0,pink
1306,159566,80266,79300,950.0,50424.0,0,pink
1307,60897,30638,30259,245.0,16075.0,0,pink
1308,53250,26518,26732,322.0,15754.0,0,pink
1309,75272,37843,37429,342.0,20756.0,0,pink
1310,365961,184585,181376,667.0,109153.0,0,pink
1311,1761382,913734,847648,9100.0,533721.0,1,purple
1312,33111,16544,16567,132.0,8666.0,0,pink
1313,15834,7781,8053,65.0,3709.0,0,pink
1314,347431,173620,173811,885.0,118685.0,0,pink
1315,33773,16990,16783,102.0,10459.0,0,pink
1316,46117,23211,22906,141.0,14297.0,0,pink
1317,39779,19885,19894,199.0,16968.0,0,pink
1318,5016,2539,2477,11.0,1762.0,0,pink
1319,66322,32999,33323,122.0,21250.0,0,pink
1320,25211,12558,12653,90.0,7928.0,0,pink
1321,35540,16975,18565,122.0,11564.0,0,pink
1322,100416,50623,49793,146.0,31925.0,0,pink
1323,29022,14224,14798,96.0,8592.0,0,pink
1324,12010,6051,5959,55.0,3809.0,0,pink
1325,54727,26394,28333,135.0,17200.0,0,pink
1326,62801,31791,31010,140.0,23643.0,0,pink
1327,8812,4308,4504,32.0,2527.0,0,pink
1328,5311,2679,2632,6.0,840.0,0,pink
1329,11372,5710,5662,42.0,3774.0,0,pink
1330,63855,31889,31966,189.0,19276.0,0,pink
1331,418201,212292,205909,908.0,136300.0,1,purple
1332,20582,10248,10334,25.0,6699.0,0,pink
1333,37203,18596,18607,140.0,13309.0,0,pink
1334,13896,6947,6949,62.0,4475.0,0,pink
1335,20888,10397,10491,36.0,5832.0,0,pink
1336,30526,15309,15217,91.0,10540.0,0,pink
1337,46217,23124,23093,154.0,15543.0,0,pink
1338,5938,2918,3020,16.0,1829.0,0,pink
1339,1235478,624948,610530,2931.0,383507.0,1,purple
1340,18663,9314,9349,26.0,5475.0,0,pink
1341,20862,10312,10550,69.0,6090.0,0,pink
1342,38974,19254,19720,133.0,11686.0,0,pink
1343,45203,22290,22913,174.0,13535.0,0,pink
1344,10047,4978,5069,22.0,2654.0,0,pink
1345,16004,7871,8133,62.0,4333.0,0,pink
1346,42658,21228,21430,150.0,15832.0,0,pink
1347,4337,2138,2199,32.0,1253.0,0,pink
1348,12644,6317,6327,43.0,3696.0,0,pink
1349,6773,3396,3377,31.0,2192.0,0,pink
1350,10569,5141,5428,35.0,2655.0,0,pink
1351,3809,1772,2037,7.0,928.0,0,pink
1352,27983,13877,14106,56.0,7512.0,0,pink
1353,5707,2852,2855,7.0,1517.0,0,pink
1354,25839,13051,12788,82.0,8249.0,0,pink
1355,5506,2778,2728,19.0,2181.0,0,pink
1356,9392,4631,4761,25.0,2512.0,0,pink
1357,19964,9896,10068,75.0,6650.0,0,pink
1358,35825,17903,17922,123.0,12989.0,0,pink
1359,23079,11352,11727,82.0,7138.0,0,pink
1360,25728,12862,12866,137.0,8368.0,0,pink
1361,32949,16310,16639,121.0,11106.0,0,pink
1362,39602,19557,20045,83.0,13814.0,0,pink
1363,8353,4183,4170,22.0,2395.0,0,pink
1364,33783,16846,16937,75.0,9839.0,0,pink
1365,21839,10603,11236,65.0,8119.0,0,pink
1366,6559,3235,3324,17.0,1799.0,0,pink
1367,153065,78229,74836,228.0,52776.0,0,pink
1368,57992,28729,29263,189.0,16259.0,0,pink
1369,14184,7130,7054,44.0,4309.0,0,pink
1370,29129,13481,15648,75.0,8540.0,0,pink
1371,9185,4744,4441,37.0,2371.0,0,pink
1372,31591,15624,15967,128.0,10619.0,0,pink
1373,10980,5418,5562,24.0,3958.0,0,pink
1374,541493,277650,263843,1537.0,158471.0,1,purple
1375,4008,1974,2034,14.0,1103.0,0,pink
1376,15331,7612,7719,58.0,4714.0,0,pink
1377,14721,7226,7495,59.0,4523.0,0,pink
1378,65765,32185,33580,206.0,20659.0,0,pink
1379,9413,4788,4625,35.0,2783.0,0,pink
1380,15462,7459,8003,48.0,5059.0,0,pink
1381,143372,71966,71406,295.0,47753.0,0,pink
1382,93231,45558,47673,200.0,31932.0,0,pink
1383,14912,7342,7570,29.0,4261.0,0,pink
1384,200080,99593,100487,615.0,60259.0,0,pink
1385,156819,77888,78931,422.0,61290.0,0,pink
1386,36676,18505,18171,76.0,12001.0,0,pink
1387,9784,4874,4910,18.0,3425.0,0,pink
1388,9411,4685,4726,34.0,2732.0,0,pink
1389,24440,11877,12563,73.0,8425.0,0,pink
1390,3337,1693,1644,11.0,1022.0,0,pink
1391,21500,10721,10779,20.0,6658.0,0,pink
1392,13646,6919,6727,67.0,5205.0,0,pink
1393,18809,9809,9000,46.0,6370.0,0,pink
1394,253317,127985,125332,568.0,82238.0,0,pink
1395,10973,5565,5408,26.0,3452.0,0,pink
1396,6343,3128,3215,25.0,1946.0,0,pink
1397,50847,25656,25191,83.0,15816.0,0,pink
1398,132745,65832,66913,346.0,42630.0,0,pink
1399,9868,4812,5056,31.0,3125.0,0,pink
1400,31547,15330,16217,154.0,8553.0,0,pink
1401,37180,18893,18287,174.0,12765.0,0,pink
1402,12468,6461,6007,73.0,3892.0,0,pink
1403,18581,9755,8826,125.0,6762.0,0,pink
1404,8253,4131,4122,51.0,2838.0,0,pink
1405,32592,17227,15365,195.0,11614.0,0,pink
1406,14571,7580,6991,80.0,5581.0,0,pink
1407,10129,5013,5116,58.0,3083.0,0,pink
1408,17279,8948,8331,105.0,6994.0,0,pink
1409,8321,4147,4174,37.0,2903.0,0,pink
1410,9120,4808,4312,51.0,2566.0,0,pink
1411,15928,8485,7443,116.0,4883.0,0,pink
1412,19808,10631,9177,105.0,6199.0,0,pink
1413,23802,12796,11006,139.0,8137.0,0,pink
1414,28721,15017,13704,131.0,9183.0,0,pink
1415,19091,9839,9252,124.0,8662.0,0,pink
1416,176132,90958,85174,584.0,61282.0,0,pink
1417,75517,39573,35944,334.0,27389.0,0,pink
1418,7757,4051,3706,41.0,2374.0,0,pink
1419,23710,11702,12008,92.0,8750.0,0,pink
1420,13714,5420,8294,61.0,3892.0,0,pink
1421,21278,11175,10103,143.0,6392.0,0,pink
1422,46653,23874,22779,164.0,14901.0,0,pink
1423,202626,102876,99750,713.0,65717.0,0,pink
1424,241774,128897,112877,858.0,67444.0,0,pink
1425,18075,9440,8635,108.0,5240.0,0,pink
1426,8539,4549,3990,48.0,2369.0,0,pink
1427,1328,521,807,9.0,309.0,0,pink
1428,23480,11659,11821,151.0,9416.0,0,pink
1429,142014,71949,70065,500.0,45665.0,0,pink
1430,16529,8481,8048,88.0,6163.0,0,pink
1431,7346,3704,3642,41.0,1811.0,0,pink
1432,11495,5952,5543,57.0,3654.0,0,pink
1433,68454,35102,33352,316.0,26379.0,0,pink
1434,10107,4937,5170,53.0,2626.0,0,pink
1435,53459,27485,25974,189.0,18841.0,0,pink
1436,61223,31980,29243,171.0,21870.0,0,pink
1437,77323,39706,37617,387.0,22051.0,0,pink
1438,12630,6500,6130,59.0,4579.0,0,pink
1439,22870,11337,11533,128.0,7637.0,0,pink
1440,84915,44389,40526,331.0,33815.0,0,pink
1441,29804,15888,13916,185.0,8620.0,0,pink
1442,34432,18177,16255,166.0,10457.0,0,pink
1443,59437,31072,28365,255.0,21219.0,0,pink
1444,103498,53974,49524,350.0,31530.0,0,pink
1445,25202,12972,12230,149.0,8759.0,0,pink
1446,35787,18051,17736,189.0,12008.0,0,pink
1447,35840,18733,17107,232.0,13691.0,0,pink
1448,10198,5429,4769,84.0,3684.0,0,pink
1449,29376,15388,13988,249.0,12823.0,0,pink
1450,21524,11382,10142,106.0,7126.0,0,pink
1451,10828,5701,5127,52.0,3623.0,0,pink
1452,49481,24618,24863,175.0,13700.0,0,pink
1453,34243,17694,16549,180.0,12409.0,0,pink
1454,55149,27886,27263,290.0,17771.0,0,pink
1455,12028,6183,5845,66.0,3754.0,0,pink
1456,39737,20901,18836,197.0,12740.0,0,pink
1457,31315,16011,15304,158.0,12792.0,0,pink
1458,25360,13056,12304,115.0,10216.0,0,pink
1459,7372,3896,3476,35.0,1848.0,0,pink
1460,151240,78199,73041,528.0,46672.0,0,pink
1461,28415,14545,13870,123.0,7857.0,0,pink
1462,4511,2364,2147,29.0,1184.0,0,pink
1463,27073,13958,13115,161.0,8614.0,0,pink
1464,16063,8216,7847,72.0,5060.0,0,pink
1465,18375,9008,9367,83.0,6716.0,0,pink
1466,26532,12605,13927,133.0,7053.0,0,pink
1467,14361,6349,8012,68.0,3961.0,0,pink
1468,28493,14665,13828,159.0,8704.0,0,pink
1469,21990,11317,10673,117.0,8916.0,0,pink
1470,19478,9987,9491,123.0,7685.0,0,pink
1471,10170,5511,4659,51.0,3055.0,0,pink
1472,28356,14414,13942,135.0,11594.0,0,pink
1473,14601,7493,7108,84.0,4671.0,0,pink
1474,47075,24647,22428,222.0,12709.0,0,pink
1475,47086,25068,22018,213.0,12919.0,0,pink
1476,20422,10350,10072,92.0,6958.0,0,pink
1477,9828,5040,4788,76.0,4064.0,0,pink
1478,8990,4174,4816,47.0,1954.0,0,pink
1479,18358,9416,8942,104.0,6722.0,0,pink
1480,12421,6336,6085,64.0,4859.0,0,pink
1481,27974,12431,15543,116.0,9990.0,0,pink
1482,25325,13110,12215,72.0,6811.0,0,pink
1483,17403,8683,8720,67.0,5734.0,0,pink
1484,5270,2655,2615,24.0,1844.0,0,pink
1485,25735,13967,11768,132.0,7019.0,0,pink
1486,35493,17670,17823,155.0,8014.0,0,pink
1487,11850,5985,5865,59.0,3401.0,0,pink
1488,16374,8360,8014,104.0,4506.0,0,pink
1489,18989,9635,9354,122.0,5518.0,0,pink
1490,12281,6141,6140,55.0,3301.0,0,pink
1491,176515,90688,85827,309.0,53414.0,0,pink
1492,89076,44385,44691,357.0,29872.0,0,pink
1493,42733,21910,20823,187.0,12510.0,0,pink
1494,9049,4464,4585,43.0,2137.0,0,pink
1495,44840,21966,22874,149.0,14444.0,0,pink
1496,45096,22768,22328,199.0,10911.0,0,pink
1497,78324,40392,37932,289.0,23710.0,0,pink
1498,8843,4513,4330,48.0,2746.0,0,pink
1499,6197,3187,3010,24.0,1777.0,0,pink
1500,102678,52314,50364,360.0,30434.0,0,pink
1501,13938,6977,6961,63.0,3776.0,0,pink
1502,7546,3782,3764,44.0,2024.0,0,pink
1503,84275,43280,40995,297.0,25079.0,0,pink
1504,6800,3353,3447,49.0,1946.0,0,pink
1505,239164,121868,117296,459.0,33863.0,0,pink
1506,20475,10209,10266,134.0,5906.0,0,pink
1507,76740,38009,38731,317.0,24096.0,0,pink
1508,17622,8408,9214,84.0,4833.0,0,pink
1509,24280,12311,11969,119.0,6621.0,0,pink
1510,7590,3706,3884,49.0,1839.0,0,pink
1511,16499,8287,8212,83.0,4740.0,0,pink
1512,8302,4115,4187,33.0,2091.0,0,pink
1513,12564,4617,7947,52.0,2601.0,0,pink
1514,15504,7812,7692,93.0,3991.0,0,pink
1515,13374,6674,6700,87.0,3085.0,0,pink
1516,30428,15805,14623,139.0,9796.0,0,pink
1517,102781,51442,51339,419.0,31511.0,0,pink
1518,14746,7373,7373,117.0,4200.0,0,pink
1519,6665,3447,3218,39.0,2731.0,0,pink
1520,288429,148063,140366,1170.0,85022.0,0,pink
1521,10039,5133,4906,75.0,3198.0,0,pink
1522,8554,4291,4263,39.0,2539.0,0,pink
1523,21765,11122,10643,96.0,7114.0,0,pink
1524,9368,4817,4551,59.0,2413.0,0,pink
1525,4456,2259,2197,34.0,1326.0,0,pink
1526,10113,5071,5042,38.0,2992.0,0,pink
1527,40102,20462,19640,236.0,11085.0,0,pink
1528,10221,5192,5029,52.0,2797.0,0,pink
1529,692003,357399,334604,1430.0,122383.0,1,purple
1530,119238,61015,58223,810.0,41106.0,0,pink
1531,223302,112415,110887,761.0,68323.0,0,pink
1532,53689,25974,27715,158.0,15126.0,0,pink
1533,3951,1962,1989,16.0,1205.0,0,pink
1534,35507,17929,17578,199.0,9666.0,0,pink
1535,32589,16483,16106,150.0,9369.0,0,pink
1536,38133,19138,18995,194.0,9422.0,0,pink
1537,10027,4927,5100,44.0,3436.0,0,pink
1538,55563,28037,27526,165.0,18655.0,0,pink
1539,12186,6325,5861,83.0,3283.0,0,pink
1540,15076,8263,6813,110.0,4593.0,0,pink
1541,15254,7571,7683,69.0,4347.0,0,pink
1542,12205,6156,6049,60.0,4316.0,0,pink
1543,8884,4435,4449,43.0,1974.0,0,pink
1544,28672,14927,13745,135.0,9877.0,0,pink
1545,22827,11192,11635,81.0,6262.0,0,pink
1546,3664,1830,1834,17.0,920.0,0,pink
1547,25049,12735,12314,133.0,7073.0,0,pink
1548,13748,6173,7575,66.0,4437.0,0,pink
1549,15958,7545,8413,62.0,4406.0,0,pink
1550,8654,4252,4402,51.0,2543.0,0,pink
1551,11545,5781,5764,65.0,3311.0,0,pink
1552,20137,10192,9945,127.0,4929.0,0,pink
1553,17811,9253,8558,98.0,6143.0,0,pink
1554,58202,29238,28964,227.0,13998.0,0,pink
1555,22547,11322,11225,55.0,7477.0,0,pink
1556,10699,5323,5376,41.0,2497.0,0,pink
1557,13619,6543,7076,52.0,3809.0,0,pink
1558,9236,4644,4592,68.0,2084.0,0,pink
1559,17031,9009,8022,90.0,3810.0,0,pink
1560,19146,9689,9457,54.0,6358.0,0,pink
1561,42371,21453,20918,198.0,14977.0,0,pink
1562,44789,21248,23541,266.0,12971.0,0,pink
1563,18489,8272,10217,66.0,5280.0,0,pink
1564,98824,50104,48720,110.0,12870.0,0,pink
1565,31549,16114,15435,123.0,10023.0,0,pink
1566,52591,22566,30025,134.0,10849.0,0,pink
1567,4815,2426,2389,27.0,1214.0,0,pink
1568,10217,5039,5178,31.0,2976.0,0,pink
1569,24945,11843,13102,115.0,7294.0,0,pink
1570,22825,11468,11357,110.0,6253.0,0,pink
1571,6315,3077,3238,27.0,1414.0,0,pink
1572,13693,6876,6817,71.0,3262.0,0,pink
1573,23102,11543,11559,119.0,7337.0,0,pink
1574,4502,2283,2219,27.0,899.0,0,pink
1575,4898,2499,2399,20.0,888.0,0,pink
1576,38729,20017,18712,176.0,13915.0,0,pink
1577,8246,4234,4012,43.0,1939.0,0,pink
1578,6061,3014,3047,18.0,2115.0,0,pink
1579,389985,198344,191641,1103.0,119873.0,0,pink
1580,9383,4720,4663,45.0,2656.0,0,pink
1581,66342,30442,35900,333.0,23656.0,0,pink
1582,998684,525074,473610,3749.0,296358.0,1,purple
1583,311273,160741,150532,861.0,75924.0,0,pink
1584,17871,8892,8979,41.0,4888.0,0,pink
1585,29512,15147,14365,152.0,7218.0,0,pink
1586,31527,16118,15409,139.0,6983.0,0,pink
1587,6317,3265,3052,32.0,2082.0,0,pink
1588,54720,28216,26504,267.0,16114.0,0,pink
1589,25671,12274,13397,114.0,5693.0,0,pink
1590,20691,10603,10088,119.0,6257.0,0,pink
1591,33908,17194,16714,118.0,9965.0,0,pink
1592,24931,12096,12835,156.0,7147.0,0,pink
1593,13308,6764,6544,58.0,2989.0,0,pink
1594,38082,18646,19436,168.0,10412.0,0,pink
1595,2040,1059,981,5.0,567.0,0,pink
1596,18293,9264,9029,97.0,4617.0,0,pink
1597,9393,4645,4748,33.0,2490.0,0,pink
1598,13376,6804,6572,111.0,5995.0,0,pink
1599,6727,3359,3368,35.0,2596.0,0,pink
1600,5834,2859,2975,23.0,1545.0,0,pink
1601,10546,5229,5317,34.0,2466.0,0,pink
1602,1318,669,649,5.0,321.0,0,pink
1603,81746,40477,41269,380.0,30134.0,0,pink
1604,5789,2950,2839,15.0,1357.0,0,pink
1605,11845,5890,5955,53.0,3524.0,0,pink
1606,1753,869,884,10.0,486.0,0,pink
1607,9191,4314,4877,63.0,2898.0,0,pink
1608,9100,4265,4835,32.0,3244.0,0,pink
1609,2838,1366,1472,13.0,801.0,0,pink
1610,11273,5591,5682,63.0,2968.0,0,pink
1611,98082,49259,48823,306.0,33773.0,0,pink
1612,104729,50483,54246,139.0,41584.0,0,pink
1613,1141,536,605,3.0,268.0,0,pink
1614,13699,6844,6855,79.0,4783.0,0,pink
1615,724,369,355,5.0,176.0,0,pink
1616,3269,1573,1696,10.0,673.0,0,pink
1617,16439,8147,8292,78.0,5398.0,0,pink
1618,11778,5799,5979,27.0,3148.0,0,pink
1619,1951,893,1058,1.0,285.0,0,pink
1620,29774,15030,14744,107.0,8320.0,0,pink
1621,67077,33891,33186,205.0,21813.0,0,pink
1622,2280,1134,1146,4.0,538.0,0,pink
1623,19358,9680,9678,101.0,5615.0,0,pink
1624,8218,3957,4261,25.0,2420.0,0,pink
1625,1630,802,828,9.0,469.0,0,pink
1626,1968,1002,966,12.0,600.0,0,pink
1627,4211,2076,2135,19.0,1369.0,0,pink
1628,115983,57611,58372,234.0,33829.0,0,pink
1629,4807,2408,2399,32.0,1110.0,0,pink
1630,16246,8082,8164,41.0,5136.0,0,pink
1631,432,203,229,1.0,51.0,0,pink
1632,4124,2023,2101,32.0,1149.0,0,pink
1633,6044,3041,3003,13.0,1494.0,0,pink
1634,1619,799,820,10.0,425.0,0,pink
1635,6861,2551,4310,33.0,2234.0,0,pink
1636,1342,669,673,4.0,295.0,0,pink
1637,41902,21080,20822,175.0,8502.0,0,pink
1638,11360,5620,5740,42.0,3011.0,0,pink
1639,11228,5669,5559,80.0,4034.0,0,pink
1640,9250,4642,4608,64.0,3278.0,0,pink
1641,11521,5586,5935,55.0,2436.0,0,pink
1642,3574,1780,1794,13.0,906.0,0,pink
1643,34814,17226,17588,144.0,9955.0,0,pink
1644,9410,4717,4693,33.0,1736.0,0,pink
1645,3653,1883,1770,13.0,920.0,0,pink
1646,6080,3086,2994,29.0,1539.0,0,pink
1647,4976,2152,2824,25.0,1432.0,0,pink
1648,777,393,384,1.0,153.0,0,pink
1649,7532,3802,3730,44.0,2158.0,0,pink
1650,2149,1070,1079,14.0,463.0,0,pink
1651,1175,614,561,9.0,249.0,0,pink
1652,157816,80043,77773,612.0,51038.0,0,pink
1653,31583,15636,15947,92.0,7928.0,0,pink
1654,6372,3168,3204,21.0,1342.0,0,pink
1655,418,213,205,1.0,36.0,0,pink
1656,696,350,346,3.0,116.0,0,pink
1657,480,234,246,4.0,87.0,0,pink
1658,5313,2672,2641,16.0,1352.0,0,pink
1659,11089,5617,5472,30.0,2641.0,0,pink
1660,2042,1014,1028,14.0,501.0,0,pink
1661,2988,1558,1430,8.0,686.0,0,pink
1662,49030,24437,24593,153.0,14326.0,0,pink
1663,6528,3319,3209,25.0,1587.0,0,pink
1664,8067,4011,4056,21.0,2347.0,0,pink
1665,25702,12773,12929,55.0,7343.0,0,pink
1666,8523,4194,4329,31.0,1884.0,0,pink
1667,3734,1869,1865,10.0,915.0,0,pink
1668,5790,2943,2847,14.0,649.0,0,pink
1669,9852,4949,4903,33.0,2483.0,0,pink
1670,6232,3067,3165,34.0,1768.0,0,pink
1671,10760,4890,5870,31.0,3054.0,0,pink
1672,8991,4486,4505,27.0,2076.0,0,pink
1673,10830,5464,5366,42.0,2451.0,0,pink
1674,20317,10098,10219,93.0,8017.0,0,pink
1675,8896,4325,4571,34.0,1576.0,0,pink
1676,23804,11563,12241,95.0,5954.0,0,pink
1677,1894,1002,892,5.0,394.0,0,pink
1678,5746,2862,2884,20.0,1462.0,0,pink
1679,36683,18557,18126,157.0,11975.0,0,pink
1680,554992,281249,273743,1275.0,179808.0,1,purple
1681,2023,1010,1013,6.0,434.0,0,pink
1682,5574,2792,2782,22.0,1350.0,0,pink
1683,3006,1516,1490,15.0,526.0,0,pink
1684,2609,1283,1326,4.0,642.0,0,pink
1685,4786,2437,2349,19.0,1338.0,0,pink
1686,21595,10769,10826,66.0,4603.0,0,pink
1687,1860,923,937,6.0,490.0,0,pink
1688,1975,1006,969,14.0,495.0,0,pink
1689,2015,1015,1000,9.0,461.0,0,pink
