,population,female,male,total_deaths,total_cases,clusters,cluster
728,48483,23092,25391,262.0,16152.0,0,pink
729,82387,42535,39852,507.0,29991.0,0,pink
730,36378,18503,17875,180.0,14384.0,0,pink
731,43938,22116,21822,150.0,15134.0,0,pink
732,33449,16750,16699,173.0,11052.0,0,pink
733,20993,10595,10398,94.0,5843.0,0,pink
734,32237,16904,15333,189.0,11215.0,0,pink
735,27727,13802,13925,129.0,8150.0,0,pink
736,151564,77215,74349,695.0,50866.0,0,pink
737,37409,18460,18949,210.0,14172.0,0,pink
738,78806,39542,39264,265.0,22863.0,0,pink
739,38942,19190,19752,115.0,6538.0,0,pink
740,110552,53484,57068,411.0,31695.0,0,pink
741,486849,251334,235515,2086.0,133875.0,1,purple
742,45619,23061,22558,289.0,14462.0,0,pink
743,129505,64798,64707,741.0,39551.0,0,pink
744,944523,489516,455007,3336.0,267723.0,1,purple
745,46595,23421,23174,228.0,14054.0,0,pink
746,10210,5055,5155,33.0,2663.0,0,pink
747,35901,16817,19084,183.0,10884.0,0,pink
748,145403,72987,72416,331.0,34351.0,0,pink
749,38276,18834,19442,178.0,12282.0,0,pink
750,69727,35280,34447,324.0,19554.0,0,pink
751,14018,7014,7004,78.0,3090.0,0,pink
752,47451,23607,23844,182.0,15710.0,0,pink
753,5887,2969,2918,27.0,1766.0,0,pink
754,19547,9820,9727,111.0,5928.0,0,pink
755,20878,10250,10628,140.0,6894.0,0,pink
756,16996,8785,8211,62.0,4353.0,0,pink
757,19141,8919,10222,81.0,5895.0,0,pink
758,12411,6155,6256,57.0,4501.0,0,pink
759,168041,84829,83212,652.0,47514.0,0,pink
760,25589,12802,12787,64.0,7889.0,0,pink
761,12660,6256,6404,95.0,3550.0,0,pink
762,37559,17845,19714,145.0,11171.0,0,pink
763,25076,12807,12269,166.0,7019.0,0,pink
764,28425,14348,14077,162.0,10078.0,0,pink
765,16704,8519,8185,62.0,6103.0,0,pink
766,23743,12073,11670,122.0,9438.0,0,pink
767,44399,22458,21941,217.0,17063.0,0,pink
768,20526,10163,10363,66.0,6151.0,0,pink
769,269240,138408,130832,989.0,84547.0,0,pink
770,22941,11639,11302,114.0,5626.0,0,pink
771,34474,16932,17542,131.0,11456.0,0,pink
772,20792,9618,11174,87.0,6391.0,0,pink
773,10628,5124,5504,31.0,2674.0,0,pink
774,189294,92428,96866,472.0,60747.0,0,pink
775,15218,7609,7609,100.0,3986.0,0,pink
776,7153,3639,3514,30.0,2349.0,0,pink
777,181313,93637,87676,706.0,70634.0,0,pink
778,15560,7751,7809,82.0,4913.0,0,pink
779,107693,52988,54705,463.0,35039.0,0,pink
780,31631,16266,15365,172.0,10405.0,0,pink
781,8247,4123,4124,31.0,2382.0,0,pink
782,61928,31519,30409,268.0,24798.0,0,pink
783,27827,13935,13892,102.0,7167.0,0,pink
784,66613,34325,32288,368.0,23365.0,0,pink
785,27947,14174,13773,149.0,7556.0,0,pink
786,24217,12074,12143,103.0,8231.0,0,pink
787,33649,16947,16702,97.0,11407.0,0,pink
788,7124,3608,3516,53.0,1807.0,0,pink
